proyecto_id,fecha,autor,categoria,metodo_match,diputado_id,fuente_mandato,bloque,familia,distrito,region,presidencia,gobierno,tipo,dominio,orientacion,saliencia
HCDN194752,2017-02-15,"GAILLARD, ANA CAROLINA",diputado,exacto_vigente,HCDN1375,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,ENTRE RIOS,PAMPEANA,macri_2015_2019,no,DECLARACION,C,administrativa_neutra,relacionada
HCDN194965,2017-03-01,"VILLALONGA, JUAN CARLOS",diputado,exacto_vigente,HCDN1467,hcdn,UNION PRO,pro,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,si,RESOLUCION,D,administrativa_neutra,relacionada
HCDN196026,2017-03-22,"ESTEVEZ, GABRIELA BEATRIZ",diputado,exacto_vigente,HCDN1514,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,CORDOBA,PAMPEANA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN196368,2017-04-03,"CARRIZO, ANA CARLA",diputado,exacto_vigente,HCDN1361,hcdn,UCR,ucr,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,si,LEY,C,administrativa_neutra,relacionada
HCDN196975,2017-04-12,"BANFI, KARINA",diputado,exacto_vigente,HCDN1447,hcdn,UCR,ucr,BUENOS AIRES,PAMPEANA,macri_2015_2019,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN200747,2017-06-19,"ARGUMEDO, ALCIRA SUSANA",diputado,exacto_vigente,HCDN1144,hcdn,PROYECTO SUR - UNEN,izquierda_progresista,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,no,DECLARACION,C,administrativa_neutra,relacionada
HCDN202544,2017-07-14,"NAZARIO, ADRIANA MONICA",diputado,exacto_vigente,HCDN1516,hcdn,UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,CORDOBA,PAMPEANA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN204356,2017-08-11,"CARMONA, GUILLERMO RAMON",diputado,exacto_vigente,HCDN1247,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,MENDOZA,CUYO,macri_2015_2019,no,RESOLUCION,C,administrativa_neutra,relacionada
HCDN204519,2017-08-16,"ESTEVEZ, GABRIELA BEATRIZ",diputado,exacto_vigente,HCDN1514,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,CORDOBA,PAMPEANA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN205425,2017-09-18,"ISA, EVITA NELIDA",diputado,exacto_vigente,HCDN1392,hcdn,JUSTICIALISTA,peronismo_federal,SALTA,NOA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
