proyecto_id,anio,tipo,dominio,marco,titulo
HCDN104495,2009,LEY,C,externo,"IDENTIFICACION, REGISTRO Y CLASIFICACION DEL POTENCIAL HUMANO NACIONAL - LEY 17671 - MODIFICACION DEL ARTICULO 13, SOBRE RECONOCIMIENTO DE LA ""CEDULA DE IDENTIDAD NACIONAL MERCOSUR"" Y DEL ""PASAPORTE ARGENTINO MERCOSUR"" PARA ACREDITACION DE LA IDENTIDAD DE LAS PERSONAS."
HCDN105835,2009,DECLARACION,C,externo,"EXPRESAR BENEPLACITO POR EL ACUERDO POLITICO ARRIBADO EN LA ""IV SESION ESPECIAL DEL PARLAMENTO DEL MERCOSUR"", DONDE SE APROBO EL CRITERIO DE REPRESENTACION CIUDADANA CON PROPORCIONALIDAD ATENUADA."
HCDN106321,2009,LEY,C,externo,SUSPENSION DE LOS EFECTOS DE LA LEY 26192 DE APROBACION DEL PROTOCOLO DE ADHESION DE LA REPUBLICA BOLIVARIANA DE VENEZUELA AL MERCOSUR.
HCDN106379,2009,DECLARACION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA PROMOVER ANTE LA PRESIDENCIA PRO TEMPORE DEL MERCOSUR, LA CONVOCATORIA A UNA REUNION EXTRAORDINARIA DEL CONSEJO DEL MERCADO COMUN, A FIN DE CONSIDERAR LA NACIONALIZACION DE EMPRESAS ARGENTINAS EN LA REPUBLICA BOLIVARIANA DE VENEZUELA Y OTRAS CUESTIONES CONEXAS."
HCDN107687,2009,DECLARACION,C,externo,EXPRESAR PREOCUPACION POR EL INCREMENTO DE LOS REINTEGROS DEL IMPUESTO AL VALOR AGREGADO APLICADO POR EL GOBIERNO DE LA REPUBLICA POPULAR CHINA PARA LOS PRODUCTOS DESTINADOS A EXPORTACION AL MERCOSUR.
HCDN107753,2009,LEY,C,externo,"LAS EXPORTACIONES A CONSUMO NO ESTARAN OBLIGADAS A PAGAR DERECHOS DE EXPORTACION, CON EXCEPCION DE LAS TASAS RETRIBUTIVAS DE SERVICIOS QUE TENGAN COMO DESTINO LOS PAISES MIEMBROS DEL MERCOSUR."
HCDN107798,2009,RESOLUCION,C,externo,"EXPRESAR ADHESION A LA DECLARACION DE LOS MANDATARIOS DEL ""MERCOSUR"" EN LA XXXVII REUNION DE PRESIDENTES CONDENANDO EL GOLPE DE ESTADO EN HONDURAS."
HCDN108164,2009,LEY,C,externo,"SUSTITUCION DEL ARTICULO 13 DE LA LEY 17671, SOBRE ACREDITACION DE IDENTIDAD CON EL DOCUMENTO NACIONAL DE IDENTIDAD Y/O LA CEDULA DE IDENTIDAD NACIONAL DEL MERCOSUR Y/O EL PASAPORTE ARGENTINO MERCOSUR. IDENTIFICACION, REGISTRO Y CLASIFICACION DEL POTENCIAL HUMANO NACIONAL."
HCDN109064,2009,LEY,C,externo,PARLAMENTARIOS DEL MERCOSUR. MARCO PARA SU ELECCION.
HCDN110169,2009,RESOLUCION,C,externo,EXPRESAR BENEPLACITO A LOS ESTADOS PARTES Y A LOS ASOCIADOS AL MERCOSUR POR EL RECONOCIMIENTO HISTORICO Y FRATERNO RESPALDO A LOS RECLAMOS DE SOBERANIA ARGENTINA SOBRE LAS ISLAS MALVINAS.
HCDN110192,2009,RESOLUCION,C,externo,"EXPRESAR PREOCUPACION POR LA APLICACION DE MEDIDAS PARA-ARANCELARIAS QUE HACE LA REPUBLICA FEDERATIVA DEL BRASIL, AL INGRESO DE ACEITE DE OLIVO Y ACEITUNAS PROVENIENTES DE ARGENTINA."
HCDN112085,2009,MENSAJE Y PROYECTO DE LEY,C,externo,"APROBACION DEL ACUERDO MARCO DE COMERCIO ENTRE EL MERCOSUR Y EL ESTADO DE ISRAEL, CONCLUIDO EN MONTEVIDEO, REPUBLICA ORIENTAL DEL URUGUAY, EL 8 DE DICIEMBRE DE 2005 Y DEL TRATADO DE LIBRE COMERCIO ENTRE EL MERCOSUR Y EL ESTADO DE ISRAEL, SUSCRIPTO EN MONTEVIDEO, REPUBLICA ORIENTAL DEL URUGUAY, EL 18 DE DICIEMBRE DE 2007."
HCDN111200,2009,RESOLUCION,B,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA LA SUSPENSION DEL LIMITE DE LA ""CUOTA HILTON""."
HCDN103073,2009,RESOLUCION,C,externo,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL ESTADO DEL TRAMITE DE INGRESO AL MERCOSUR COMO MIEMBRO PLENO DE LA REPUBLICA BOLIVARIANA DE VENEZUELA.
HCDN110216,2009,DECLARACION,C,externo,"EXPRESAR BENEPLACITO POR LA APROBACION EN EL PARLAMENTO LATINOAMERICANO DE LA PROPUESTA DE CREACION DE UNA AGENCIA AMBIENTAL DEL ""MERCOSUR""."
HCDN109227,2009,RESOLUCION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA PROPONERLE A LOS ESTADOS - PARTE DEL MERCOSUR UNA DEFINICION MAS PRECISA Y COMPLETA DE LOS ALCANCES DE LA ""CLAUSULA DEMOCRATICA DEL MERCOSUR"" ACORDADA EL DIA 24 DE JULIO DE 1998 EN EL PROTOCOLO DE USHUAIA."
HCDN110209,2009,RESOLUCION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA PROPONER LA CREACION DE UNA AGENCIA AMBIENTAL DEL ""MERCOSUR"" EN LA SIGUIENTE ""CUMBRE DE PRESIDENTES"" A REALIZARSE EL 16 DE DICIEMBRE DE 2009, CON EL OBJETO DE ESTABLECER UNA LEGISLACION AMBIENTAL COMUN PARA EL BLOQUE."
HCDN108046,2009,LEY,C,externo,ELECCION DE PARLAMENTARIOS DEL MERCOSUR: MODIFICACION DEL CODIGO ELECTORAL NACIONAL (LEY 19945 Y MODIFICATORIAS).
HCDN106750,2009,RESOLUCION,C,externo,EXPRESAR REPUDIO A LA INTENCION DE DETERMINADOS SECTORES ECONOMICOS Y DE ALGUNOS LEGISLADORES QUE PRETENDEN SUSPENDER LA LEY QUE AUTORIZA LA INCLUSION DEL HERMANO PAIS DE VENEZUELA AL MERCOSUR.
HCDN105698,2009,DECLARACION,C,externo,"EXPRESAR APOYO A LA DECISION DEL BANCO CENTRAL DE LA REPUBLICA ARGENTINA (BCRA) DE EXTENDER EL ""SISTEMA DE PAGOS EN LA MONEDA LOCAL - SML -"" A LOS RESTANTES PAISES DEL MERCOSUR Y UNASUR."
HCDN109680,2009,RESOLUCION,C,externo,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA GESTIONAR ANTE EL PARLAMENTO DEL MERCOSUR QUE GARANTICE LA ESTABILIDAD Y SEGURIDAD EN LA REGION DECLARANDO SU RECHAZO AL INCREMENTO DE GASTOS EN ARMAMENTOS POR LOS ESTADOS - PARTES Y ESTADOS - ASOCIADOS DEL BLOQUE.
