orden,proyecto_id,titulo,publicacion_fecha,tipo,autor,relevante_manual,dominio_manual,tema_manual,orientacion_manual,saliencia_manual,notas
373,HCDN263132,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS A FIN DE MEJORAR EL MARCO INSTITUCIONAL DEL BLOQUE MERCOSUR.,2022-09-20T00:00:00,RESOLUCION,"IGLESIAS, FERNANDO ADOLFO",,,,,,
374,HCDN265398,"SOLICITAR AL PODER EJECUTIVO DISPONGA LA REGLAMENTACION DE LA LEY 27553, DE RECETAS ELECTRONICAS O DIGITALES.",2022-12-26T00:00:00,DECLARACION,"CARRIZO, SOLEDAD",,,,,,
375,HCDN284458,DECLARASE PATRIMONIO CULTURAL INMATERIAL DE LA NACION AL CENTRO DE EGRESADOS DEL COLEGIO NACIONAL FLORENTINO AMEGHINO DE LA CIUDAD DE MERCEDES (B). DECLARASE DE INTERES NACIONAL LA PRESERVACION DE SU PATRIMONIO CULTURAL.,2025-05-12T00:00:00,LEY,"SILEY, VANESA RAQUEL",,,,,,
376,HCDN162709,PLAN NACIONAL DE RECICLADO Y APROVECHAMIENTO ECONOMICO DE LOS ACEITES VEGETALES USADOS PARA LA ELABORACION DE BIOCOMBUSTIBLES. IMPLEMENTACION.,2014-05-06T00:00:00,LEY,"EHCOSOR, MARIA AZUCENA",,,,,,
377,HCDN265993,"CODIGO ELECTORAL NACIONAL - LEY 19945 -. MODIFICACION DEL ARTICULO 81 E INCORPORACION DEL ARTICULO 81 BIS, SOBRE CONSTITUCION DE MESAS EL DIA DE LA ELECCION Y REEMPLAZO DE LAS AUTORIDADES EN CASO DE AUSENCIA, RESPECTIVAMENTE.",2023-03-01T00:00:00,LEY,"LOSPENNATO, SILVIA GABRIELA",,,,,,
378,HCDN098531,CREACION DEL BOLETO PEDIATRICO GRATUITO EN MEDIOS DE TRANSPORTE PUBLICO TERRESTRE PARA MENORES DE 18 AÑOS CON ENFERMEDADES CRONICAS.,2008-09-04T00:00:00,LEY,"GALANTINI, EDUARDO LEONEL",,,,,,
379,HCDN117460,"COMUNICACION DEL DECRETO 806/10 POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA DIRECTIVA 20 DEL 22 DE OCTUBRE DE 2009 DE LA COMISION DE COMERCIO DEL MERCOSUR (CCM), SOBRE TRATAMIENTO ARANCELARIO PARA LA IMPORTACION DE LAMINAS DE POLIURETANO CELULAR CON RECUBRIMIENTO REFLECTIVO Y RETROREFLECTIVO, PARA LA CONFECCION DE DOCUMENTOS.",2010-06-23T00:00:00,MENSAJE,"FERNANDEZ, ANIBAL DOMINGO",,,,,,
380,HCDN104211,"PEDIDO DE INFORMES POR ESCRITO AL MINISTRO DE ECONOMIA DE LA NACION, CARLOS FERNANDEZ, SOBRE LAS DECLARACIONES DEL SECRETARIO DE COMERCIO INTERIOR EFECTUADAS A FRIGORIFICOS NACIONALES RELACIONADAS CON EL PRECIO DE LA CARNE.",2009-03-23T00:00:00,RESOLUCION,"GRIBAUDO, CHRISTIAN ALEJANDRO",,,,,,
381,HCDN198263,"CODIGO PENAL. MODIFICACION DEL ARTICULO 2, SOBRE APLICABILIDAD DE LA LEY.",2017-05-09T00:00:00,LEY,"AUSTIN, BRENDA LIS",,,,,,
382,HCDN258555,"CODIGO CIVIL Y COMERCIAL DE LA NACION - LEY 27551 -. MODIFICACIONES, SOBRE LOCACION DE INMUEBLES.",2022-05-10T00:00:00,LEY,"SALVADOR, SEBASTIAN NICOLAS",,,,,,
383,HCDN159429,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA POSICION DE ARGENTINA EN LA NEGOCIACION QUE ESTAN LLEVANDO A CABO LOS MIEMBROS DEL MERCOSUR: BRASIL, PARAGUAY Y URUGUAY, PARA LA CONCRECION DE UN TRATADO DE LIBRE COMERCIO CON LA UNION EUROPEA.",2014-02-28T00:00:00,RESOLUCION,"ASSEFF, ALBERTO",,,,,,
384,HCDN150226,"ESCUELA NORMAL SUPERIOR N°9 ""DOMINGO FAUSTINO SARMIENTO"", UBICADA EN LA CIUDAD AUTONOMA DE BUENOS AIRES. SE LA DECLARA MONUMENTO HISTORICO NACIONAL.",2013-04-11T00:00:00,LEY,"PUIGGROS, ADRIANA VICTORIA",,,,,,
385,HCDN120492,"DECLARAR DE INTERES DE LA H. CAMARA LA XVII REUNION DEL GRUPO DE COORDINACION Y LA XVI REUNION DE LA COMISION MIXTA DE LA EFSUR -ENTIDADES FISCALIZADORAS SUPERIORES DE LOS PAISES DEL MERCOSUR Y ASOCIADOS-, A REALIZARSE DEL 20 AL 22 DE OCTUBRE DE 2010, EN LA CIUDAD AUTONOMA DE BUENOS AIRES",2010-10-14T00:00:00,RESOLUCION,"GODOY, RUPERTO EDUARDO",,,,,,
386,HCDN105698,"EXPRESAR APOYO A LA DECISION DEL BANCO CENTRAL DE LA REPUBLICA ARGENTINA (BCRA) DE EXTENDER EL ""SISTEMA DE PAGOS EN LA MONEDA LOCAL - SML -"" A LOS RESTANTES PAISES DEL MERCOSUR Y UNASUR.",2009-05-14T00:00:00,DECLARACION,"SANTANDER, MARIO ARMANDO",,,,,,
387,HCDN107736,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL SERVICIO DE AMBULANCIA Y DE TRASLADO DE AFILIADOS, PRESTADO POR EL PAMI, DELEGACION ROSARIO, PROVINCIA DE SANTA FE, Y OTRAS CUESTIONES CONEXAS.",2009-07-29T00:00:00,RESOLUCION,"PERALTA, FABIAN FRANCISCO",,,,,,
388,HCDN202533,"ELECCION DE PARLAMENTARIOS DEL MERCOSUR - LEY 27120 -. SE SUSPENDE SU APLICACION HASTA EL 31 DE DICIEMBRE DE 2020, FECHA DE VENCIMIENTO DE LA PRORROGA DE LA ETAPA DE TRANSICION DE LA CONSTITUCION DEL PARLAMENTO DEL MERCOSUR.",2017-07-14T00:00:00,LEY,"CARRIO, ELISA MARIA AVELINA",,,,,,
389,HCDN185739,AUMENTO DE TARIFAS DE SERVICIOS PUBLICOS - DECRETO N° 367/2016 -. DEROGACION.,2016-05-10T00:00:00,LEY,"STOLBIZER, MARGARITA ROSA",,,,,,
390,HCDN243127,"SOLICITAR AL PODER EJECUTIVO DISPONGA LAS ACCIONES NECESARIAS DE COORDINACION CON SADAIC Y AADI CAPIF A FIN DE QUE DICHAS INSTITUCIONES CUENTEN CON LOS MECANISMOS Y RECURSOS QUE PERMITAN REDEFINIR DE MANERA EXCEPCIONAL UNA REDUCCION DE LOS CANONES Y ARANCELES QUE REGULAN Y APLICAN A QUIENES EMPRENDEN ACTIVIDADES ARTISTICAS MEDIANTE PLATAFORMAS VIRTUALES TRANSMITIDAS POR VIA WEB (STREAMING) DURANTE EL PLAZO DE EXTENSION DE LAS RESTRICCIONES SOCIALES, EN EL MARCO DE LA PANDEMIA POR COVID-19.",2020-08-03T00:00:00,DECLARACION,"GRANDE, MARTIN",,,,,,
391,HCDN172169,TARIFA SOCIAL BASICA DE SERVICIOS PUBLICOS A FAVOR DE LOS CLUBES E INSTITUCIONES DEPORTIVAS BARRIALES: CREACION (REPRODUCCION DEL EXPEDIENTE 0534-D-13).,2015-03-02T00:00:00,LEY,"BIANCHI, IVANA MARIA",,,,,,
392,HCDN282710,INSTAR AL PODER EJECUTIVO A ASEGURAR EL CUMPLIMIENTO DE LA DISPOSICION N° 03/2022 DEL PARLASUR EN RELACION AL PAGO DE LOS VIATICOS CORRESPONDIENTES A LA PARTICIPACION DE LOS REPRESENTANTES DE LA REPUBLICA ARGENTINA ANTE EL PARLAMENTO DEL MERCOSUR.,2025-03-17T00:00:00,RESOLUCION,"QUETGLAS, FABIO JOSE",,,,,,
393,HCDN273731,"BIOCOMBUSTIBLES - LEY 27640 -. MODIFICACIONES, SOBRE IMPULSO DE SU INDUSTRIA.",2024-03-19T00:00:00,LEY,"FEIN, MONICA",,,,,,
394,HCDN109680,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA GESTIONAR ANTE EL PARLAMENTO DEL MERCOSUR QUE GARANTICE LA ESTABILIDAD Y SEGURIDAD EN LA REGION DECLARANDO SU RECHAZO AL INCREMENTO DE GASTOS EN ARMAMENTOS POR LOS ESTADOS - PARTES Y ESTADOS - ASOCIADOS DEL BLOQUE.,2009-10-26T00:00:00,RESOLUCION,"IGLESIAS, FERNANDO ADOLFO",,,,,,
395,HCDN134592,"CAPILLA DEL CEMENTERIO SITA EN EL POBLADO HISTORICO DE SECLANTAS, DEPARTAMENTO DE MOLINOS, PROVINCIA DE SALTA: SE LA DECLARA MONUMENTO HISTORICO NACIONAL (REPRODUCCION DEL EXPEDIENTE 7562-D-10).",2012-03-16T00:00:00,LEY,"YARADE, FERNANDO",,,,,,
396,HCDN107841,"DECLARAR DE INTERES DE LA HONORABLE CAMARA EL I CONGRESO INTERNACIONAL DE ""GUARANI IDIOMA OFICIAL DEL MERCOSUR"", A REALIZARSE EL DIA 29 DE AGOSTO DE 2009 EN LA CIUDAD DE POSADAS, PROVINCIA DE MISIONES.",2009-08-04T00:00:00,DECLARACION,"PERIE, JULIA ARGENTINA",,,,,,
397,HCDN222075,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE DIVERSAS CUESTIONES RELACIONADAS CON LA SITUACION LABORAL DE TRABAJADORES QUE SE DESEMPEÑAN EN LA DEPENDENCIA DE LA ""SECRETARIA DE AGRICULTURA, GANADERIA Y PESCA DE LA NACION"" UBICADA EN ELDORADO, PROVINCIA DE MISIONES.",2018-09-19T00:00:00,RESOLUCION,"DI STEFANO, DANIEL",,,,,,
398,HCDN120077,"COMUNICACION DEL DECRETO 1192/2010 POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA DECISION 25/09 DEL CONSEJO DEL MERCADO COMUN, FIJANDOSE TRANSITORIAMENTE, HASTA EL 31 DE DICIEMBRE DE 2011 LOS NIVELES DE ARANCEL EXTERNO COMUN - AEC - Y DERECHO DE IMPORTACION EXTRAZONA - DIE - EN EL VEINTIOCHO POR CIENTO (28%), DE DIVERSAS POSICIONES ARANCELARIAS DE LA NOMENCLATURA COMUN DEL MERCOSUR - NCM.",2010-09-24T00:00:00,MENSAJE,"FERNANDEZ, ANIBAL DOMINGO",,,,,,
399,HCDN214023,EXPRESAR BENEPLACITO POR EL LLAMADO A LICITACION PARA LA CONSTRUCCION DE UN ESTADIO DE FUTBOL EN LA CIUDAD CAPITAL DE LA PROVINCIA DE SANTIAGO DEL ESTERO.,2018-04-17T00:00:00,RESOLUCION,"NEDER, ESTELA MARY",,,,,,
400,HCDN242032,"EXPRESAR BENEPLACITO POR EL LANZAMIENTO DEL ""PROGRAMA CLUBES EN OBRA"", DESTINADO AL APOYO Y MEJORA DE LA INFRAESTRUCTURA DE CLUBES DE BARRIO Y ENTIDADES DEPORTIVAS COMUNITARIAS.",2020-06-26T00:00:00,DECLARACION,"SIERRA, MAGDALENA",,,,,,
